,league,season,team,game,date,round,day,venue,result,GF,GA,opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,time,teams_home_name,teams_home_logo,teams_away_name,teams_away_logo
163,ENG-Premier League,1718,Chelsea,2017-11-18 West Brom-Chelsea,11/18/2017,Matchweek 12,Sat,Away,W,4,0,West Brom,3,0,0,12,12,1,17,10,8,0,0,0,54,13,19,40.6,15:00:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,West Brom,https://media-4.api-sports.io/football/teams/60.png
164,ENG-Premier League,1718,Chelsea,2017-11-25 Liverpool-Chelsea,11/25/2017,Matchweek 13,Sat,Away,D,1,1,Liverpool,0,0,0,7,10,5,26,13,15,0,0,0,61,12,7,63.2,17:30:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Liverpool,https://media-4.api-sports.io/football/teams/40.png
165,ENG-Premier League,1718,Chelsea,2017-11-29 Chelsea-Swansea City,11/29/2017,Matchweek 14,Wed,Home,W,1,0,Swansea City,1,0,0,10,6,0,42,15,15,0,0,0,65,20,8,71.4,19:45:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Swansea City,https://media-4.api-sports.io/football/teams/76.png
166,ENG-Premier League,1718,Chelsea,2017-12-02 Chelsea-Newcastle Utd,12/2/2017,Matchweek 15,Sat,Home,W,3,1,Newcastle Utd,0,0,0,8,12,2,26,14,12,1,0,0,60,20,10,66.7,12:30:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Newcastle Utd,https://media-4.api-sports.io/football/teams/34.png
167,ENG-Premier League,1718,Chelsea,2017-12-09 West Ham-Chelsea,12/9/2017,Matchweek 16,Sat,Away,L,0,1,West Ham,1,0,0,10,10,2,21,8,16,0,0,0,58,17,13,56.7,12:30:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,West Ham,https://media-4.api-sports.io/football/teams/48.png
168,ENG-Premier League,1718,Chelsea,2017-12-12 Huddersfield-Chelsea,12/12/2017,Matchweek 17,Tue,Away,W,3,1,Huddersfield,0,0,0,4,11,10,21,9,6,0,0,0,50,11,11,50.0,20:00:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Huddersfield,https://media-4.api-sports.io/football/teams/37.png
169,ENG-Premier League,1718,Chelsea,2017-12-16 Chelsea-Southampton,12/16/2017,Matchweek 18,Sat,Home,W,1,0,Southampton,1,0,0,8,16,3,15,7,10,0,0,0,50,9,12,42.9,15:00:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Southampton,https://media-4.api-sports.io/football/teams/41.png
170,ENG-Premier League,1718,Chelsea,2017-12-23 Everton-Chelsea,12/23/2017,Matchweek 19,Sat,Away,D,0,0,Everton,0,0,0,4,8,4,35,8,10,0,0,0,70,16,22,42.1,12:30:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Everton,https://media-4.api-sports.io/football/teams/45.png
171,ENG-Premier League,1718,Chelsea,2017-12-26 Chelsea-Brighton,12/26/2017,Matchweek 20,Tue,Home,W,2,0,Brighton,0,0,0,8,8,2,20,9,10,0,0,0,64,10,21,32.3,15:00:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Brighton,https://media-4.api-sports.io/football/teams/51.png
172,ENG-Premier League,1718,Chelsea,2017-12-30 Chelsea-Stoke City,12/30/2017,Matchweek 21,Sat,Home,W,5,0,Stoke City,1,0,0,5,9,3,23,6,6,1,0,0,54,13,5,72.2,15:00:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Stoke City,https://media-4.api-sports.io/football/teams/75.png
173,ENG-Premier League,1718,Chelsea,2018-01-03 Arsenal-Chelsea,1/3/2018,Matchweek 22,Wed,Away,D,2,2,Arsenal,2,0,0,11,11,3,19,18,11,1,0,0,58,14,12,53.8,19:45:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Arsenal,https://media-4.api-sports.io/football/teams/42.png
174,ENG-Premier League,1718,Chelsea,2018-01-13 Chelsea-Leicester City,1/13/2018,Matchweek 23,Sat,Home,D,0,0,Leicester City,2,0,0,14,13,5,24,9,11,0,0,0,64,11,16,40.7,15:00:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Leicester City,https://media-4.api-sports.io/football/teams/46.png
175,ENG-Premier League,1718,Chelsea,2018-01-20 Brighton-Chelsea,1/20/2018,Matchweek 24,Sat,Away,W,4,0,Brighton,0,0,0,5,12,0,10,9,4,0,0,0,50,12,13,48.0,12:30:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Brighton,https://media-4.api-sports.io/football/teams/51.png
176,ENG-Premier League,1718,Chelsea,2018-01-31 Chelsea-Bournemouth,1/31/2018,Matchweek 25,Wed,Home,L,0,3,Bournemouth,1,0,0,5,11,4,25,7,10,0,0,0,61,23,9,71.9,19:45:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Bournemouth,https://media-4.api-sports.io/football/teams/35.png
177,ENG-Premier League,1718,Chelsea,2018-02-05 Watford-Chelsea,2/5/2018,Matchweek 26,Mon,Away,L,1,4,Watford,4,1,1,8,10,1,9,9,10,0,1,0,52,16,18,47.1,20:00:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Watford,https://media-4.api-sports.io/football/teams/38.png
178,ENG-Premier League,1718,Chelsea,2018-02-12 Chelsea-West Brom,2/12/2018,Matchweek 27,Mon,Home,W,3,0,West Brom,0,0,0,11,11,1,15,9,10,0,0,0,59,16,24,40.0,20:00:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,West Brom,https://media-4.api-sports.io/football/teams/60.png
179,ENG-Premier League,1718,Chelsea,2018-02-25 Manchester Utd-Chelsea,2/25/2018,Matchweek 28,Sun,Away,L,1,2,Manchester Utd,2,0,0,12,13,6,14,6,12,0,0,0,67,9,13,40.9,14:05:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Manchester Utd,https://media-4.api-sports.io/football/teams/33.png
180,ENG-Premier League,1718,Chelsea,2018-03-04 Manchester City-Chelsea,3/4/2018,Matchweek 29,Sun,Away,L,0,1,Manchester City,1,0,0,9,8,1,8,11,7,0,0,0,52,8,5,61.5,16:00:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Manchester City,https://media-4.api-sports.io/football/teams/50.png
181,ENG-Premier League,1718,Chelsea,2018-03-10 Chelsea-Crystal Palace,3/10/2018,Matchweek 30,Sat,Home,W,2,1,Crystal Palace,1,0,0,8,9,2,33,9,11,0,0,0,47,18,15,54.5,17:30:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png
182,ENG-Premier League,1718,Chelsea,2018-04-01 Chelsea-Tottenham,4/1/2018,Matchweek 32,Sun,Home,L,1,3,Tottenham,0,0,0,4,11,4,21,20,21,0,0,0,67,13,13,50.0,16:00:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Tottenham,https://media-4.api-sports.io/football/teams/47.png
183,ENG-Premier League,1718,Chelsea,2018-04-08 Chelsea-West Ham,4/8/2018,Matchweek 33,Sun,Home,D,1,1,West Ham,0,0,0,7,11,2,25,11,11,0,0,0,66,26,7,78.8,16:30:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,West Ham,https://media-4.api-sports.io/football/teams/48.png
184,ENG-Premier League,1718,Chelsea,2018-04-14 Southampton-Chelsea,4/14/2018,Matchweek 34,Sat,Away,W,3,2,Southampton,3,0,0,14,12,2,25,13,8,0,0,0,56,23,11,67.6,12:30:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Southampton,https://media-4.api-sports.io/football/teams/41.png
185,ENG-Premier League,1718,Chelsea,2018-04-19 Burnley-Chelsea,4/19/2018,Matchweek 31,Thu,Away,W,2,1,Burnley,0,0,0,11,9,1,13,13,7,0,0,0,55,29,19,60.4,19:45:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Burnley,https://media-4.api-sports.io/football/teams/44.png
186,ENG-Premier League,1718,Chelsea,2018-04-28 Swansea City-Chelsea,4/28/2018,Matchweek 36,Sat,Away,W,1,0,Swansea City,1,0,0,9,12,3,11,13,7,0,0,0,52,16,7,69.6,17:30:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Swansea City,https://media-4.api-sports.io/football/teams/76.png
187,ENG-Premier League,1718,Chelsea,2018-05-06 Chelsea-Liverpool,5/6/2018,Matchweek 37,Sun,Home,W,1,0,Liverpool,3,0,0,12,8,2,10,24,10,0,0,0,63,20,18,52.6,16:30:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Liverpool,https://media-4.api-sports.io/football/teams/40.png
188,ENG-Premier League,1718,Chelsea,2018-05-09 Chelsea-Huddersfield,5/9/2018,Matchweek 35,Wed,Home,D,1,1,Huddersfield,0,0,0,7,10,2,40,5,9,0,0,0,71,19,20,48.7,19:45:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Huddersfield,https://media-4.api-sports.io/football/teams/37.png
189,ENG-Premier League,1718,Chelsea,2018-05-13 Newcastle Utd-Chelsea,5/13/2018,Matchweek 38,Sun,Away,L,0,3,Newcastle Utd,1,0,0,10,11,2,14,14,6,0,0,0,58,26,11,70.3,15:00:00,Chelsea,https://media-4.api-sports.io/football/teams/49.png,Newcastle Utd,https://media-4.api-sports.io/football/teams/34.png
190,ENG-Premier League,1718,Crystal Palace,2017-08-12 Crystal Palace-Huddersfield,8/12/2017,Matchweek 1,Sat,Home,L,0,3,Huddersfield,1,0,0,7,19,0,27,19,19,0,0,1,52,18,16,52.9,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Huddersfield,https://media-4.api-sports.io/football/teams/37.png
191,ENG-Premier League,1718,Crystal Palace,2017-08-19 Liverpool-Crystal Palace,8/19/2017,Matchweek 2,Sat,Away,L,0,1,Liverpool,3,0,0,13,12,4,6,29,11,0,0,0,53,13,17,43.3,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Liverpool,https://media-4.api-sports.io/football/teams/40.png
192,ENG-Premier League,1718,Crystal Palace,2017-08-26 Crystal Palace-Swansea City,8/26/2017,Matchweek 3,Sat,Home,L,0,2,Swansea City,4,0,0,9,6,0,22,14,11,0,0,0,54,21,18,53.8,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Swansea City,https://media-4.api-sports.io/football/teams/76.png
193,ENG-Premier League,1718,Crystal Palace,2017-09-10 Burnley-Crystal Palace,9/10/2017,Matchweek 4,Sun,Away,L,0,1,Burnley,1,0,0,14,7,1,37,12,7,0,0,0,47,17,23,42.5,13:30:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Burnley,https://media-4.api-sports.io/football/teams/44.png
194,ENG-Premier League,1718,Crystal Palace,2017-09-16 Crystal Palace-Southampton,9/16/2017,Matchweek 5,Sat,Home,L,0,1,Southampton,5,0,0,14,13,0,22,7,12,0,0,0,55,19,20,48.7,12:30:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Southampton,https://media-4.api-sports.io/football/teams/41.png
195,ENG-Premier League,1718,Crystal Palace,2017-09-23 Manchester City-Crystal Palace,9/23/2017,Matchweek 6,Sat,Away,L,0,5,Manchester City,1,0,0,7,6,1,11,15,9,0,0,0,49,10,9,52.6,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Manchester City,https://media-4.api-sports.io/football/teams/50.png
196,ENG-Premier League,1718,Crystal Palace,2017-09-30 Manchester Utd-Crystal Palace,9/30/2017,Matchweek 7,Sat,Away,L,0,4,Manchester Utd,0,0,0,9,6,1,21,14,11,0,0,0,58,8,16,33.3,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Manchester Utd,https://media-4.api-sports.io/football/teams/33.png
197,ENG-Premier League,1718,Crystal Palace,2017-10-14 Crystal Palace-Chelsea,10/14/2017,Matchweek 8,Sat,Home,W,2,1,Chelsea,2,0,0,7,6,1,11,15,14,0,0,0,68,5,24,17.2,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Chelsea,https://media-4.api-sports.io/football/teams/49.png
198,ENG-Premier League,1718,Crystal Palace,2017-10-21 Newcastle Utd-Crystal Palace,10/21/2017,Matchweek 9,Sat,Away,L,0,1,Newcastle Utd,2,0,0,14,12,1,18,11,14,0,0,0,58,27,23,54.0,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Newcastle Utd,https://media-4.api-sports.io/football/teams/34.png
199,ENG-Premier League,1718,Crystal Palace,2017-10-28 Crystal Palace-West Ham,10/28/2017,Matchweek 10,Sat,Home,D,2,2,West Ham,1,0,0,18,15,3,30,11,15,1,0,0,61,19,19,50.0,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,West Ham,https://media-4.api-sports.io/football/teams/48.png
200,ENG-Premier League,1718,Crystal Palace,2017-11-05 Tottenham-Crystal Palace,11/5/2017,Matchweek 11,Sun,Away,L,0,1,Tottenham,2,0,0,7,6,4,16,16,13,0,0,0,52,14,16,46.7,12:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Tottenham,https://media-4.api-sports.io/football/teams/47.png
201,ENG-Premier League,1718,Crystal Palace,2017-11-18 Crystal Palace-Everton,11/18/2017,Matchweek 12,Sat,Home,D,2,2,Everton,2,0,0,9,25,1,29,13,9,0,1,0,55,16,17,48.5,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Everton,https://media-4.api-sports.io/football/teams/45.png
202,ENG-Premier League,1718,Crystal Palace,2017-11-25 Crystal Palace-Stoke City,11/25/2017,Matchweek 13,Sat,Home,W,2,1,Stoke City,1,0,0,9,4,2,23,11,21,0,0,0,55,13,15,46.4,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Stoke City,https://media-4.api-sports.io/football/teams/75.png
203,ENG-Premier League,1718,Crystal Palace,2017-11-28 Brighton-Crystal Palace,11/28/2017,Matchweek 14,Tue,Away,D,0,0,Brighton,0,0,0,8,12,0,16,13,7,0,0,0,58,27,24,52.9,19:45:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Brighton,https://media-4.api-sports.io/football/teams/51.png
204,ENG-Premier League,1718,Crystal Palace,2017-12-02 West Brom-Crystal Palace,12/2/2017,Matchweek 15,Sat,Away,D,0,0,West Brom,1,0,0,10,10,1,22,9,12,0,0,0,47,31,27,53.4,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,West Brom,https://media-4.api-sports.io/football/teams/60.png
205,ENG-Premier League,1718,Crystal Palace,2017-12-09 Crystal Palace-Bournemouth,12/9/2017,Matchweek 16,Sat,Home,D,2,2,Bournemouth,5,0,0,14,14,5,28,15,9,2,0,0,58,23,12,65.7,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Bournemouth,https://media-4.api-sports.io/football/teams/35.png
206,ENG-Premier League,1718,Crystal Palace,2017-12-12 Crystal Palace-Watford,12/12/2017,Matchweek 17,Tue,Home,W,2,1,Watford,2,0,0,14,18,3,14,9,8,0,0,0,63,33,16,67.3,20:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Watford,https://media-4.api-sports.io/football/teams/38.png
207,ENG-Premier League,1718,Crystal Palace,2017-12-16 Leicester City-Crystal Palace,12/16/2017,Matchweek 18,Sat,Away,W,3,0,Leicester City,2,0,0,13,11,0,12,16,18,0,0,0,63,22,23,48.9,12:30:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Leicester City,https://media-4.api-sports.io/football/teams/46.png
208,ENG-Premier League,1718,Crystal Palace,2017-12-23 Swansea City-Crystal Palace,12/23/2017,Matchweek 19,Sat,Away,D,1,1,Swansea City,3,0,0,11,13,1,12,16,14,1,0,0,67,18,11,62.1,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Swansea City,https://media-4.api-sports.io/football/teams/76.png
209,ENG-Premier League,1718,Crystal Palace,2017-12-28 Crystal Palace-Arsenal,12/28/2017,Matchweek 20,Thu,Home,L,2,3,Arsenal,1,0,0,12,7,1,22,16,12,0,0,0,49,22,20,52.4,20:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Arsenal,https://media-4.api-sports.io/football/teams/42.png
210,ENG-Premier League,1718,Crystal Palace,2017-12-31 Crystal Palace-Manchester City,12/31/2017,Matchweek 21,Sun,Home,D,0,0,Manchester City,5,0,0,14,11,4,17,12,9,1,0,0,47,15,16,48.4,12:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Manchester City,https://media-4.api-sports.io/football/teams/50.png
211,ENG-Premier League,1718,Crystal Palace,2018-01-02 Southampton-Crystal Palace,1/2/2018,Matchweek 22,Tue,Away,W,2,1,Southampton,1,0,0,11,8,0,17,15,11,0,0,0,58,23,16,59.0,19:45:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Southampton,https://media-4.api-sports.io/football/teams/41.png
212,ENG-Premier League,1718,Crystal Palace,2018-01-13 Crystal Palace-Burnley,1/13/2018,Matchweek 23,Sat,Home,W,1,0,Burnley,0,0,0,16,10,0,19,6,13,0,0,0,50,34,34,50.0,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Burnley,https://media-4.api-sports.io/football/teams/44.png
213,ENG-Premier League,1718,Crystal Palace,2018-01-20 Arsenal-Crystal Palace,1/20/2018,Matchweek 24,Sat,Away,L,1,4,Arsenal,0,0,0,8,6,1,29,26,9,0,0,0,65,16,16,50.0,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Arsenal,https://media-4.api-sports.io/football/teams/42.png
214,ENG-Premier League,1718,Crystal Palace,2018-01-30 West Ham-Crystal Palace,1/30/2018,Matchweek 25,Tue,Away,D,1,1,West Ham,3,0,0,15,11,0,23,15,5,0,1,0,46,24,24,50.0,19:45:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,West Ham,https://media-4.api-sports.io/football/teams/48.png
215,ENG-Premier League,1718,Crystal Palace,2018-02-04 Crystal Palace-Newcastle Utd,2/4/2018,Matchweek 26,Sun,Home,D,1,1,Newcastle Utd,1,0,0,11,8,4,27,11,11,1,0,0,55,30,17,63.8,14:15:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Newcastle Utd,https://media-4.api-sports.io/football/teams/34.png
216,ENG-Premier League,1718,Crystal Palace,2018-02-10 Everton-Crystal Palace,2/10/2018,Matchweek 27,Sat,Away,L,1,3,Everton,1,0,0,15,12,1,21,16,4,0,0,0,55,27,14,65.9,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Everton,https://media-4.api-sports.io/football/teams/45.png
217,ENG-Premier League,1718,Crystal Palace,2018-02-25 Crystal Palace-Tottenham,2/25/2018,Matchweek 28,Sun,Home,L,0,1,Tottenham,0,0,0,12,5,0,10,24,20,0,0,0,58,24,14,63.2,12:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Tottenham,https://media-4.api-sports.io/football/teams/47.png
218,ENG-Premier League,1718,Crystal Palace,2018-03-05 Crystal Palace-Manchester Utd,3/5/2018,Matchweek 29,Mon,Home,L,2,3,Manchester Utd,1,0,0,10,8,2,20,18,9,0,0,0,65,22,21,51.2,20:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Manchester Utd,https://media-4.api-sports.io/football/teams/33.png
219,ENG-Premier League,1718,Crystal Palace,2018-03-10 Chelsea-Crystal Palace,3/10/2018,Matchweek 30,Sat,Away,L,1,2,Chelsea,2,0,0,9,8,2,18,9,13,0,0,1,48,15,18,45.5,17:30:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Chelsea,https://media-4.api-sports.io/football/teams/49.png
220,ENG-Premier League,1718,Crystal Palace,2018-03-17 Huddersfield-Crystal Palace,3/17/2018,Matchweek 31,Sat,Away,W,2,0,Huddersfield,2,0,0,12,11,2,14,22,18,1,0,0,76,32,20,61.5,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Huddersfield,https://media-4.api-sports.io/football/teams/37.png
221,ENG-Premier League,1718,Crystal Palace,2018-03-31 Crystal Palace-Liverpool,3/31/2018,Matchweek 32,Sat,Home,L,1,2,Liverpool,2,0,0,6,6,1,15,8,17,1,0,0,74,17,17,50.0,12:30:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Liverpool,https://media-4.api-sports.io/football/teams/40.png
222,ENG-Premier League,1718,Crystal Palace,2018-04-07 Bournemouth-Crystal Palace,4/7/2018,Matchweek 33,Sat,Away,D,2,2,Bournemouth,2,0,0,9,8,1,16,23,11,0,0,0,57,16,18,47.1,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Bournemouth,https://media-4.api-sports.io/football/teams/35.png
223,ENG-Premier League,1718,Crystal Palace,2018-04-14 Crystal Palace-Brighton,4/14/2018,Matchweek 34,Sat,Home,W,3,2,Brighton,3,0,0,12,16,3,12,9,8,0,0,0,57,18,20,47.4,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Brighton,https://media-4.api-sports.io/football/teams/51.png
224,ENG-Premier League,1718,Crystal Palace,2018-04-21 Watford-Crystal Palace,4/21/2018,Matchweek 35,Sat,Away,D,0,0,Watford,5,0,0,13,16,1,10,11,8,0,0,0,60,24,32,42.9,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Watford,https://media-4.api-sports.io/football/teams/38.png
225,ENG-Premier League,1718,Crystal Palace,2018-04-28 Crystal Palace-Leicester City,4/28/2018,Matchweek 36,Sat,Home,W,5,0,Leicester City,1,0,0,11,9,1,12,16,8,1,0,0,51,8,11,42.1,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Leicester City,https://media-4.api-sports.io/football/teams/46.png
226,ENG-Premier League,1718,Crystal Palace,2018-05-05 Stoke City-Crystal Palace,5/5/2018,Matchweek 37,Sat,Away,W,2,1,Stoke City,2,0,0,12,18,2,13,11,5,0,0,0,59,18,22,45.0,12:30:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,Stoke City,https://media-4.api-sports.io/football/teams/75.png
227,ENG-Premier League,1718,Crystal Palace,2018-05-13 Crystal Palace-West Brom,5/13/2018,Matchweek 38,Sun,Home,W,2,0,West Brom,2,0,0,10,11,1,11,19,22,0,0,0,53,13,12,52.0,15:00:00,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png,West Brom,https://media-4.api-sports.io/football/teams/60.png
228,ENG-Premier League,1718,Everton,2017-08-12 Everton-Stoke City,8/12/2017,Matchweek 1,Sat,Home,W,1,0,Stoke City,1,0,0,13,10,2,18,19,12,0,0,0,40,19,23,45.2,15:00:00,Everton,https://media-4.api-sports.io/football/teams/45.png,Stoke City,https://media-4.api-sports.io/football/teams/75.png
229,ENG-Premier League,1718,Everton,2017-08-21 Manchester City-Everton,8/21/2017,Matchweek 2,Mon,Away,D,1,1,Manchester City,4,1,1,9,7,3,9,16,12,0,0,0,44,12,22,35.3,20:00:00,Everton,https://media-4.api-sports.io/football/teams/45.png,Manchester City,https://media-4.api-sports.io/football/teams/50.png
230,ENG-Premier League,1718,Everton,2017-08-27 Chelsea-Everton,8/27/2017,Matchweek 3,Sun,Away,L,0,2,Chelsea,2,0,0,7,11,0,16,16,12,0,0,0,53,10,15,40.0,13:30:00,Everton,https://media-4.api-sports.io/football/teams/45.png,Chelsea,https://media-4.api-sports.io/football/teams/49.png
231,ENG-Premier League,1718,Everton,2017-09-09 Everton-Tottenham,9/9/2017,Matchweek 4,Sat,Home,L,0,3,Tottenham,3,0,0,14,12,4,26,15,10,0,0,0,49,12,15,44.4,15:00:00,Everton,https://media-4.api-sports.io/football/teams/45.png,Tottenham,https://media-4.api-sports.io/football/teams/47.png
232,ENG-Premier League,1718,Everton,2017-09-17 Manchester Utd-Everton,9/17/2017,Matchweek 5,Sun,Away,L,0,4,Manchester Utd,1,0,0,14,15,3,7,15,17,0,1,0,57,8,14,36.4,16:00:00,Everton,https://media-4.api-sports.io/football/teams/45.png,Manchester Utd,https://media-4.api-sports.io/football/teams/33.png
233,ENG-Premier League,1718,Everton,2017-09-23 Everton-Bournemouth,9/23/2017,Matchweek 6,Sat,Home,W,2,1,Bournemouth,3,0,0,12,11,3,24,21,13,0,0,0,63,13,14,48.1,15:00:00,Everton,https://media-4.api-sports.io/football/teams/45.png,Bournemouth,https://media-4.api-sports.io/football/teams/35.png
234,ENG-Premier League,1718,Everton,2017-10-01 Everton-Burnley,10/1/2017,Matchweek 7,Sun,Home,L,0,1,Burnley,2,0,0,14,6,1,34,4,5,0,0,0,57,32,34,48.5,14:15:00,Everton,https://media-4.api-sports.io/football/teams/45.png,Burnley,https://media-4.api-sports.io/football/teams/44.png
235,ENG-Premier League,1718,Everton,2017-10-15 Brighton-Everton,10/15/2017,Matchweek 8,Sun,Away,D,1,1,Brighton,1,0,0,10,12,1,14,8,15,1,0,0,56,24,25,49.0,13:30:00,Everton,https://media-4.api-sports.io/football/teams/45.png,Brighton,https://media-4.api-sports.io/football/teams/51.png
236,ENG-Premier League,1718,Everton,2017-10-22 Everton-Arsenal,10/22/2017,Matchweek 9,Sun,Home,L,2,5,Arsenal,3,1,1,14,12,2,13,10,7,0,0,0,48,17,13,56.7,13:30:00,Everton,https://media-4.api-sports.io/football/teams/45.png,Arsenal,https://media-4.api-sports.io/football/teams/42.png
237,ENG-Premier League,1718,Everton,2017-10-29 Leicester City-Everton,10/29/2017,Matchweek 10,Sun,Away,L,0,2,Leicester City,2,0,0,10,6,1,27,9,12,0,0,0,63,22,20,52.4,16:00:00,Everton,https://media-4.api-sports.io/football/teams/45.png,Leicester City,https://media-4.api-sports.io/football/teams/46.png
238,ENG-Premier League,1718,Everton,2017-11-05 Everton-Watford,11/5/2017,Matchweek 11,Sun,Home,W,3,2,Watford,0,0,0,14,12,5,11,20,17,1,1,0,57,24,34,41.4,16:30:00,Everton,https://media-4.api-sports.io/football/teams/45.png,Watford,https://media-4.api-sports.io/football/teams/38.png
239,ENG-Premier League,1718,Everton,2017-11-18 Crystal Palace-Everton,11/18/2017,Matchweek 12,Sat,Away,D,2,2,Crystal Palace,3,0,0,26,9,1,12,20,26,1,0,0,46,17,16,51.5,15:00:00,Everton,https://media-4.api-sports.io/football/teams/45.png,Crystal Palace,https://media-4.api-sports.io/football/teams/52.png
240,ENG-Premier League,1718,Everton,2017-11-26 Southampton-Everton,11/26/2017,Matchweek 13,Sun,Away,L,1,4,Southampton,0,0,0,13,6,0,7,14,6,0,0,0,46,24,26,48.0,13:30:00,Everton,https://media-4.api-sports.io/football/teams/45.png,Southampton,https://media-4.api-sports.io/football/teams/41.png
241,ENG-Premier League,1718,Everton,2017-11-29 Everton-West Ham,11/29/2017,Matchweek 14,Wed,Home,W,4,0,West Ham,2,0,0,16,6,2,14,15,14,1,1,0,58,26,21,55.3,20:00:00,Everton,https://media-4.api-sports.io/football/teams/45.png,West Ham,https://media-4.api-sports.io/football/teams/48.png
242,ENG-Premier League,1718,Everton,2017-12-02 Everton-Huddersfield,12/2/2017,Matchweek 15,Sat,Home,W,2,0,Huddersfield,2,0,0,12,9,1,7,14,10,0,0,0,44,39,28,58.2,15:00:00,Everton,https://media-4.api-sports.io/football/teams/45.png,Huddersfield,https://media-4.api-sports.io/football/teams/37.png
243,ENG-Premier League,1718,Everton,2017-12-10 Liverpool-Everton,12/10/2017,Matchweek 16,Sun,Away,D,1,1,Liverpool,3,0,0,11,7,0,5,20,12,1,0,0,43,14,14,50.0,14:15:00,Everton,https://media-4.api-sports.io/football/teams/45.png,Liverpool,https://media-4.api-sports.io/football/teams/40.png
